candidate_id,rank,score,reasoning
CAND_0002025,1,0.9900,Senior AI Engineer with 5.9 yrs; 4 AI core skills; response rate 0.80. Exceptional production focus and semantic fit.
CAND_0088025,2,0.9850,Staff Machine Learning Engineer with 8.6 yrs; 3 AI core skills; response rate 0.83. Exceptional production focus and semantic fit.
CAND_0010603,3,0.9800,ML Engineer with 5.3 yrs; 4 AI core skills; response rate 0.94. Exceptional production focus and semantic fit.
CAND_0071974,4,0.9750,Senior AI Engineer with 7.8 yrs; 4 AI core skills; response rate 0.76. Exceptional production focus and semantic fit.
CAND_0018499,5,0.9700,Senior Machine Learning Engineer with 7.2 yrs; 3 AI core skills; response rate 0.61. Exceptional production focus and semantic fit.
CAND_0080344,6,0.9650,Senior Software Engineer (ML) with 4.9 yrs; 2 AI core skills; response rate 0.70. Exceptional production focus and semantic fit.
CAND_0087744,7,0.9600,Senior Software Engineer (ML) with 3.9 yrs; 3 AI core skills; response rate 0.88. Exceptional production focus and semantic fit.
CAND_0046525,8,0.9550,Senior Machine Learning Engineer with 6.1 yrs; 6 AI core skills; response rate 0.88. Exceptional production focus and semantic fit.
CAND_0011687,9,0.9500,Senior NLP Engineer with 7.8 yrs; 5 AI core skills; response rate 0.89. Exceptional production focus and semantic fit.
CAND_0046064,10,0.9450,Senior NLP Engineer with 8.9 yrs; 1 AI core skills; response rate 0.78. Exceptional production focus and semantic fit.
CAND_0059795,11,0.9400,Senior Software Engineer (ML) with 5.6 yrs; 4 AI core skills; response rate 0.75. Exceptional production focus and semantic fit.
CAND_0049978,12,0.9350,Senior Software Engineer (ML) with 6.6 yrs; 3 AI core skills; response rate 0.71. Exceptional production focus and semantic fit.
CAND_0039754,13,0.9300,Senior Applied Scientist with 16.2 yrs; 6 AI core skills; response rate 0.81. Exceptional production focus and semantic fit.
CAND_0061265,14,0.9250,Recommendation Systems Engineer with 6.6 yrs; 2 AI core skills; response rate 0.94. Exceptional production focus and semantic fit.
CAND_0086022,15,0.9200,Senior Applied Scientist with 5.3 yrs; 4 AI core skills; response rate 0.55. Exceptional production focus and semantic fit.
CAND_0070525,16,0.9150,Senior Software Engineer (ML) with 5.4 yrs; 3 AI core skills; response rate 0.93. Strong retrieval & ranking background.
CAND_0007008,17,0.9100,Senior Software Engineer (ML) with 3.7 yrs; 3 AI core skills; response rate 0.66. Strong retrieval & ranking background.
CAND_0099751,18,0.9050,Junior ML Engineer with 5.5 yrs; 1 AI core skills; response rate 0.64. Strong retrieval & ranking background.
CAND_0043676,19,0.9000,Senior Software Engineer (ML) with 6.1 yrs; 1 AI core skills; response rate 0.65. Strong retrieval & ranking background.
CAND_0008425,20,0.8950,Senior NLP Engineer with 7.8 yrs; 2 AI core skills; response rate 0.66. Strong retrieval & ranking background.
CAND_0002344,21,0.8900,Senior Software Engineer (ML) with 4.7 yrs; 4 AI core skills; response rate 0.83. Strong retrieval & ranking background.
CAND_0081846,22,0.8850,Lead AI Engineer with 6.7 yrs; 4 AI core skills; response rate 0.73. Strong retrieval & ranking background.
CAND_0005649,23,0.8800,Senior Data Scientist with 7.4 yrs; 2 AI core skills; response rate 0.57. Strong retrieval & ranking background.
CAND_0055992,24,0.8750,AI Engineer with 16.9 yrs; 6 AI core skills; response rate 0.72. Strong retrieval & ranking background.
CAND_0052744,25,0.8700,Senior Software Engineer (ML) with 4.9 yrs; 1 AI core skills; response rate 0.79. Strong retrieval & ranking background.
CAND_0059504,26,0.8650,Junior ML Engineer with 3.3 yrs; 3 AI core skills; response rate 0.83. Strong retrieval & ranking background.
CAND_0034177,27,0.8600,Senior Software Engineer (ML) with 3.6 yrs; 4 AI core skills; response rate 0.82. Strong retrieval & ranking background.
CAND_0077337,28,0.8550,Staff Machine Learning Engineer with 7.0 yrs; 2 AI core skills; response rate 0.95. Strong retrieval & ranking background.
CAND_0069386,29,0.8500,ML Engineer with 3.5 yrs; 3 AI core skills; response rate 0.66. Strong retrieval & ranking background.
CAND_0025882,30,0.8450,Senior Software Engineer (ML) with 5.6 yrs; 2 AI core skills; response rate 0.79. Strong retrieval & ranking background.
CAND_0072020,31,0.8400,Senior Software Engineer (ML) with 6.1 yrs; 1 AI core skills; response rate 0.38. Strong retrieval & ranking background.
